epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
0,0.6965658745899606,0.5139567440930259,0.5195500232482094,0.6822874269432785,0.5599102209944752,0.5871125020702578
1,0.6423561597670123,0.6269106596954372,0.6749321107528237,0.6157179781086537,0.6500345303867403,0.7158798441000844
2,0.5972464092322538,0.6640524556441244,0.7356729697240338,0.5914655452933759,0.6629834254143646,0.73636510340951
3,0.5627800699203465,0.6939801719950859,0.7719517949810083,0.5675317671417531,0.6928522099447514,0.7757929068228846
4,0.5090596294737534,0.7365218136624668,0.8265125333948171,0.49318777625732,0.7465469613259669,0.8350860532417688
5,0.4408806700966487,0.7797777206365533,0.8760704168961395,0.4832195942573126,0.7607044198895028,0.8493980056108905
6,0.4009760689929207,0.8058626896374389,0.9009341994357356,0.4684918898245248,0.763121546961326,0.8584709527266583
7,0.3607748934221024,0.8295620125139281,0.9216074027289628,0.5005069533105713,0.7662292817679558,0.8618555175089092
8,0.3212743661064157,0.8542327362075369,0.9406477177961176,0.4829820661255009,0.774171270718232,0.8673949199643106
9,0.260690492556431,0.8849461443958744,0.961169366633765,0.4799929597101159,0.7847030386740331,0.8733281019381673
